
Level	Hero	Soldier	Pilgrim	Wizard	Sage	Fighter	Merch	Goof	Thief
=================================================================================
1	0	0	0	0	0	0	0	0	0
2	29	12	14	15	20	18	10	11	13
3	87	36	42	45	60	54	30	33	39
4	174	84	98	105	140	126	70	77	78
5	304	156	182	195	260	234	130	143	136
6	499	264	308	330	440	396	220	242	223
7	792	426	497	532	710	639	355	390	353
8	1232	669	780	835	1115	1003	557	612	548
9	1891	1033	1205	1290	1722	1549	860	946	840
10	2880	1579	1842	1973	2633	2369	1315	1447	1278
11	4364	2398	2798	2997	3999	3598	1998	2198	1935
12	6218	3627	4232	4533	6047	5441	3022	3324	2920
13	8534	5163	6024	6453	8607	7745	4302	4732	4397
14	11428	7083	8264	8853	11807	10625	5902	6492	6243
15	15045	9483	11064	11853	15807	14225	7902	8692	8550
16	19114	12483	14564	15603	20807	18725	10402	11442	11433
17	23690	16233	18939	20290	27057	24350	13527	14879	15036
18	28837	20920	24407	25563	34869	30678	17433	19175	19539
19	34627	26779	30559	31495	43657	37797	22315	24545	25167
20	41141	34102	37479	38169	53543	45805	27807	31258	32202
21	48468	42340	45263	45676	64664	54814	33985	38810	40116
22	56711	51608	54020	54121	77175	64949	40935	47306	49019
23	65983	62034	63872	63622	91250	76350	48754	56863	59034
24	76413	73763	74955	74310	107083	89176	57550	67614	70300
25	88147	86957	87423	86334	124895	103605	67445	79709	82974
26	101347	101801	101450	99861	144933	119837	78577	93316	97232
27	116196	118500	117229	115078	167475	138098	91100	108623	113272
28	132901	137286	134981	132197	192835	158641	105188	125844	131317
29	151694	158421	154952	151456	221365	181751	121037	145217	151617
30	172836	182197	177419	173121	253461	207749	138867	167012	174454
31	196621	208945	202694	197494	289568	236996	158925	191531	200145
32	223378	239036	231128	224913	330188	269898	181490	219114	229047
33	253480	272888	263116	255758	375885	306912	206876	250145	261561
34	287344	310972	299102	290458	427293	348552	235435	285055	298139
35	325440	353816	339585	329495	485126	395397	267563	324329	339289
36	368298	402015	385128	373412	550188	448097	303707	368511	385582
37	416512	456239	436364	422818	623383	507384	344368	418216	437661
38	470752	517241	494004	478399	705726	574081	390112	474134	496249
39	531771	585868	558849	540927	798362	649115	441573	537042	562160
40	600417	663073	631799	611271	902577	733528	499467	607813	636309
41	677644	749928	713867	690408	1019818	828492	564597	687430	719726
42	764524	847639	806194	779436	1151714	935326	637868	776998	813570
43	862263	945350	910061	879592	1300096	1055514	720298	877762	907414
44	960002	1043061	1026912	992268	1448478	1190725	813032	991121	1001258
45	1057741	1140772	1143763	1119028	1596860	1325936	905766	1104480	1095102
46	1155480	1238483	1260614	1245788	1745242	1461147	998500	1217839	1188946
47	1253219	1336194	1377465	1372548	1893624	1596358	1091234	1331198	1282790
48	1350958	1433905	1494316	1499308	2042006	1731569	1183968	1444557	1376634
49	1448697	1531616	1611167	1626068	2190388	1866780	1276702	1557916	1470478
50	1546436	1629327	1728018	1752828	2338770	2001991	1369436	1671275	1564322
51	1644175	1727038	1844869	1879588	2487152	2137202	1462170	1784634	1658166
52	1741914	1824749	1961720	2006348	2635534	2272413	1554904	1897993	1752010
53	1839653	1922460	2078571	2133108	2783916	2407624	1647638	2011352	1845854
54	1937392	2020171	2195422	2259868	2932298	2542835	1740372	2124711	1939698
55	2035131	2117882	2312273	2386628	3080680	2678046	1833106	2238070	2033542
56	2132870	2215593	2429124	2513388	3229062	2813257	1925840	2351429	2127386
57	2230609	2313304	2545975	2640148	3377444	2948468	2018574	2464788	2221230
58	2328348	2411015	2662826	2766908	3525826	3083679	2111308	2578147	2315074
59	2426087	2508726	2779677	2893668	3674208	3218890	2204042	2691506	2408918
60	2523826	2606437	2896528	3020428	3822590	3354101	2296776	2804865	2502762
61	2621565	2704148	3013379	3147188	3970972	3489312	2389510	2918224	2596606
62	2719304	2801859	3130230	3273948	4119354	3624523	2482244	3031583	2690450
63	2817043	2899570	3247081	3400708	4267736	3759734	2574978	3144942	2784294
64	2914782	2997281	3363932	3527468	4416118	3894945	2667712	3258301	2878138
65	3012521	3094992	3480783	3654228	4564500	4030156	2760446	3371660	2971982
66	3110260	3192703	3597634	3780988	4712882	4165367	2853180	3485019	3065826
67	3207999	3290414	3714485	3907748	4861264	4300578	2945914	3598378	3159670
68	3305738	3388125	3831336	4034508	5009646	4435789	3038648	3711737	3253514
69	3403477	3485836	3948187	4161268	5158028	4571000	3131382	3825096	3347358
70	3501216	3583547	4065038	4288028	5306410	4706211	3224116	3938455	3441202
71	3598955	3681258	4181889	4414788	5454792	4841422	3316850	4051814	3535046
72	3696694	3778969	4298740	4541548	5603174	4976633	3409584	4165173	3628890
73	3794433	3876680	4415591	4668308	5751556	5111844	3502318	4278532	3722734
74	3892172	3974391	4532442	4795068	5899938	5247055	3595052	4391891	3816578
75	3989911	4072102	4649293	4921828	6048320	5382266	3687786	4505250	3910422
76	4087650	4169813	4766144	5048588	6196702	5517477	3780520	4618609	4004266
77	4185389	4267524	4882995	5175348	6345084	5652688	3873254	4731968	4098110
